Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.181509303310338,-0.000380448282518042,0.223257426419673,0,0,0,13.4430675902065,0.281648508733876,0.00012583959322382,0.00137500825003625,0.275100645506775,-1.91261660286542E-05,0.187965427850982,0,0,0,0,0,0,package://buaahz_car_urdf_mid360/meshes/base_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://buaahz_car_urdf_mid360/meshes/base_link.STL,,加强筋-15;加强筋-11;二层连接件（左右）-1;加强筋-17;加强筋-13;侧面支撑板-1;底盘加强筋（横）-1;加强筋-16;二层连接件（左右）-2;加强筋-14;电池盒-1;底盘加强筋（纵）-1;二层载板-1;24V60Ah锂电池300-200-100-1;二层连接件（前）-1;加强筋-12;加强筋-10;加强筋-9;侧面支撑板-2;加强筋-6;加强筋-4;加强筋-3;加强筋-1;电机固定板-2;电机固定板-1;前摆臂横梁-1;交叉滚子-1;摆臂前连接件-1;加强筋-8;底盘-1;加强筋-2;铝型材3030-1300-1;铝型材3030-300-3;铝型材3030-1300-2;铝型材3030-300-1;铝型材3030-300-2;二层侧面支撑板（前）-2;二层侧面支撑板（前）-1;载板-1;屏幕固定板（侧面）-2;屏幕固定板（侧面）-1;屏幕固定板（底面）-1;载重环-1;二层侧面支撑板-7;二层侧面支撑板-4;电池仓（侧）-1;电池仓（前）-1;电池仓（底）-1;电池仓（侧）-2;加强筋-18;电池仓（后）-1;二层侧面支撑板-5;二层侧面支撑板-1;二层侧面支撑板-6;无线充电模块2-1;二层侧面支撑板-8;电池仓（前）-2;屏幕-1;铝型材3030-300-5;橡胶减震器M4-12 D15-H10-2;开关固定板-1;铝型材3030-300-4;铝型材3030-300-8;铝型材3030-300-6;屏幕固定板-2;橡胶减震器M4-12 D15-H10-1;铝型材3030-1000-1;屏幕固定板-1;铝型材3030-300-7;铝型材3030-1000-2;轮毂电机-1/ZLLG65ASM250-4096 V2.0单出轴.stp-1/6_5C-BZ_ASM_ASM.stp-1/6_5CUN-CI_ASM_ASM.stp-1/MANIFOLD_SOLID_BREP_6699.stp-1;轮毂电机-1/ZLLG65ASM250-4096 V2.0单出轴.stp-1/5G-shuang.1.stp-1/5G-shuang_1.1.stp-1;轮毂电机-1/ZLLG65ASM250-4096 V2.0单出轴.stp-1/零件1.1.2.1.stp-1;轮毂电机-1/ZLLG65ASM250-4096 V2.0单出轴.stp-1/Part1.2.stp-1;轮毂电机-1/ZLLG65ASM250-4096 V2.0单出轴.stp-1/5G-shuang.1.stp-1/零件1.1.2.stp-1;轮毂电机-1/ZLLG65ASM250-4096 V2.0单出轴.stp-1/5G-shuang.1.stp-1/5cun-1.1.stp-1;轮毂电机-2/ZLLG65ASM250-4096 V2.0单出轴.stp-1/6_5C-BZ_ASM_ASM.stp-1/6_5CUN-CI_ASM_ASM.stp-1/MANIFOLD_SOLID_BREP_6699.stp-1;轮毂电机-2/ZLLG65ASM250-4096 V2.0单出轴.stp-1/5G-shuang.1.stp-1/5G-shuang_1.1.stp-1;轮毂电机-2/ZLLG65ASM250-4096 V2.0单出轴.stp-1/5G-shuang.1.stp-1/零件1.1.2.stp-1;轮毂电机-2/ZLLG65ASM250-4096 V2.0单出轴.stp-1/5G-shuang.1.stp-1/5cun-1.1.stp-1;轮毂电机-2/ZLLG65ASM250-4096 V2.0单出轴.stp-1/零件1.1.2.1.stp-1;轮毂电机-2/ZLLG65ASM250-4096 V2.0单出轴.stp-1/Part1.2.stp-1;E-CLHJ75-N-2/E-CLHJ75-N_p-1;E-CLHJ75-N-1/E-CLHJ75-N_p-1;Mid360固定座-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel_Link,5.65098762783656E-08,-0.000107541598391658,3.10675519172611E-07,0,0,0,0.913957958882337,0.00156554399137761,-7.84052736776632E-10,2.68393645781178E-09,0.00295301334108984,-2.21425364152405E-09,0.00156556205111389,0,0,0,0,0,0,package://buaahz_car_urdf_mid360/meshes/left_wheel_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buaahz_car_urdf_mid360/meshes/left_wheel_Link.STL,,轮毂电机-2/ZLLG65ASM250-4096 V2.0单出轴.stp-1/6_5C-BZ_ASM_ASM.stp-1/MANIFOLD_SOLID_BREP_6697_1_1.stp-1;轮毂电机-2/ZLLG65ASM250-4096 V2.0单出轴.stp-1/6_5C-BZ_ASM_ASM.stp-1/6_5CUN-CI_ASM_ASM.stp-1/MANIFOLD_SOLID_BREP_6701.stp-1;轮毂电机-2/ZLLG65ASM250-4096 V2.0单出轴.stp-1/6_5C-BZ_ASM_ASM.stp-1/6_5CUN-CI_ASM_ASM.stp-1/MANIFOLD_SOLID_BREP_6700.stp-1,左驱动轮坐标系,驱动轮基准轴,left_wheel_joint,continuous,5E-05,0.2146,-0.002,0,0,0,base_link,0.00023299,1,0,,,,,,,,,,,,
right_wheel_Link,-5.65098763338767E-08,0.000107541598391658,3.10675519180417E-07,0,0,0,0.913957958882337,0.00156554399137761,-7.84052736812517E-10,-2.68393645810548E-09,0.00295301334108984,2.21425364140328E-09,0.00156556205111389,0,0,0,0,0,0,package://buaahz_car_urdf_mid360/meshes/right_wheel_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buaahz_car_urdf_mid360/meshes/right_wheel_Link.STL,,轮毂电机-1/ZLLG65ASM250-4096 V2.0单出轴.stp-1/6_5C-BZ_ASM_ASM.stp-1/MANIFOLD_SOLID_BREP_6697_1_1.stp-1;轮毂电机-1/ZLLG65ASM250-4096 V2.0单出轴.stp-1/6_5C-BZ_ASM_ASM.stp-1/6_5CUN-CI_ASM_ASM.stp-1/MANIFOLD_SOLID_BREP_6700.stp-1;轮毂电机-1/ZLLG65ASM250-4096 V2.0单出轴.stp-1/6_5C-BZ_ASM_ASM.stp-1/6_5CUN-CI_ASM_ASM.stp-1/MANIFOLD_SOLID_BREP_6701.stp-1,右驱动轮坐标系,驱动轮基准轴,right_wheel_joint,continuous,-5E-05,-0.2146,-0.002,0,0,0,base_link,0.00023299,1,0,,,,,,,,,,,,
lf_Link,0.00478439486534085,-0.000194940503855323,-0.0200897415759267,0,0,0,0.0764331852561443,6.38707770236009E-05,2.87122519156646E-07,1.04097740579094E-05,5.80010180912249E-05,-5.27406370320012E-07,5.40103969527263E-05,0,0,0,0,0,0,package://buaahz_car_urdf_mid360/meshes/lf_Link.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://buaahz_car_urdf_mid360/meshes/lf_Link.STL,,E-CLHJ75-N-2/E-CLHJ75-N_b-1,左万上坐标系5,左万上基准轴5,lf_joint,continuous,0.3818,0.17675,0.0052475,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
lf_wheel_Link,-2.38627238802191E-07,-1.45803757956031E-10,-5.82427378548189E-08,0,0,0,0.150467637750351,7.04259874807444E-05,2.55314558592181E-13,-6.75188730056312E-12,0.000108333870406122,2.62322526670289E-10,7.04301499801696E-05,0,0,0,0,0,0,package://buaahz_car_urdf_mid360/meshes/lf_wheel_Link.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://buaahz_car_urdf_mid360/meshes/lf_wheel_Link.STL,,E-CLHJ75-N-2/E-CLHJ75-N_w-1,左万向轮坐标系3,左万向轮基准轴3,lf_wheel_joint,continuous,0.024001,0,-0.055747,0,0,0,lf_Link,0,1,0,,,,,,,,,,,,
rf_Link,-0.00478439486534091,0.000194940503855441,-0.0200897415759267,0,0,0,0.0764331852561442,6.38707770236007E-05,2.87122519156616E-07,-1.04097740579094E-05,5.80010180912247E-05,5.27406370320082E-07,5.40103969527261E-05,0,0,0,0,0,0,package://buaahz_car_urdf_mid360/meshes/rf_Link.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://buaahz_car_urdf_mid360/meshes/rf_Link.STL,,E-CLHJ75-N-1/E-CLHJ75-N_b-1,右万上坐标系6,右万上基准轴6,rf_joint,continuous,0.3818,-0.17625,0.0052475,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
rf_wheel_Link,2.38627238857703E-07,1.45803898468633E-10,-5.82427378409411E-08,0,0,0,0.150467637750353,7.04259874807456E-05,2.5531451309142E-13,6.75188738021814E-12,0.000108333870406124,-2.62322526655303E-10,7.0430149980171E-05,0,0,0,0,0,0,package://buaahz_car_urdf_mid360/meshes/rf_wheel_Link.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://buaahz_car_urdf_mid360/meshes/rf_wheel_Link.STL,,E-CLHJ75-N-1/E-CLHJ75-N_w-1,右万向轮坐标系4,右万向轮基准轴4,rf_wheel_joint,continuous,-0.024001,0,-0.055747,0,0,0,rf_Link,0,-1,0,,,,,,,,,,,,
lidar_link,-0.00019957460168607,-6.35051604638837E-06,-0.0174673934257759,0,0,0,0.141887015227875,4.17975072515976E-05,-5.70694428346188E-09,3.0532252043517E-07,4.50771349129295E-05,-4.48870012512574E-10,6.87994228531405E-05,0,0,0,0,0,0,package://buaahz_car_urdf_mid360/meshes/lidar_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://buaahz_car_urdf_mid360/meshes/lidar_link.STL,,mid-360-asm-1,激光雷达坐标系,激光雷达旋转轴,lidar_joint,fixed,0.2522,0.0001,1.4191,-3.1416,0,0,base_link,0,0,0,,,,,,,,,,,,
gyro_link,-0.000461131492249578,1.4976717060966E-08,0.000357931402369074,0,0,0,0.0548244190262661,1.0090549858139E-05,7.81875144528939E-12,8.08032197163182E-09,1.47422266994547E-05,1.26941468206231E-12,2.14471397750013E-05,0,0,0,0,0,0,package://buaahz_car_urdf_mid360/meshes/gyro_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buaahz_car_urdf_mid360/meshes/gyro_link.STL,,惯导模块_防水版N100WP(N200WP_N300WP)客户图-1,imu坐标系1,,gyro_joint,fixed,0.3895,0,0.1035,-3.1416,0,0,base_link,0,0,0,,,,,,,,,,,,
ultrasound_link1,-0.00759453667636936,-8.9944379166873E-09,0.00937891166550875,0,0,0,0.00233498324559952,7.7046805601303E-07,-7.26509027188701E-13,1.66641615729325E-07,6.2422463355379E-07,1.09044629912647E-12,5.54074367099163E-07,0,0,0,0,0,0,package://buaahz_car_urdf_mid360/meshes/ultrasound_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buaahz_car_urdf_mid360/meshes/ultrasound_link1.STL,,超声波探头固定件-1,探头坐标系1,,ultrasound_joint1,fixed,0.4465,0.234,0.069062,0,0,0,base_link,0,0,0,,,,,,,,,,,,
